M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2428 狀態=T
✅ 機身姿態 roll -4.4° pitch -8.1°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

互動模式　最壞情況 52.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 10 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 21.73     GAIT_OUT    250     0.0767    19.16   bl3_knee_pitch   +0.2   -0.6    0.09
 21.99     GAIT_OUT    250     0.0750    16.09   bl3_knee_pitch   +0.9   -0.6    0.03

  ▸ GAIT_OUT 結束（時間到），進入 KP_UP

 22.24        KP_UP    250     0.0746    16.13   bl3_knee_pitch   +0.8   -0.6    0.00
 22.50        KP_UP    250     0.0738    16.06   bl3_knee_pitch   +0.7   -0.6    0.04
 22.75        KP_UP    250     0.0734    16.10   bl3_knee_pitch   +0.6   -0.6    0.00
 23.00        KP_UP    250     0.0727    16.09   bl3_knee_pitch   +0.6   -0.6    0.01
 23.26        KP_UP    250     0.0711    15.93   bl3_knee_pitch   +0.6   -0.6    0.07
 23.51        KP_UP    250     0.0692    16.64     br1_hip_roll   +0.6   -0.6    0.04

  ▸ KP_UP 結束（時間到），進入 STOPPED

 23.76      STOPPED    250     0.0689    17.29     br1_hip_roll   +0.5   -0.6    0.00
 24.01      STOPPED    250     0.0689    17.37     br1_hip_roll   +0.5   -0.6    0.00
 24.26      STOPPED    250     0.0689    17.23     br1_hip_roll   +0.4   -0.6    0.00
 24.52      STOPPED    250     0.0689    17.28     br1_hip_roll   +0.4   -0.6    0.00
 24.77      STOPPED    250     0.0689    17.34     br1_hip_roll   +0.4   -0.6    0.00
 25.02      STOPPED    250     0.0689    17.35     br1_hip_roll   +0.4   -0.6    0.00
 25.27      STOPPED    250     0.0689    17.29     br1_hip_roll   +0.3   -0.6    0.00
 25.53      STOPPED    250     0.0689    17.20     br1_hip_roll   +0.3   -0.6    0.01
 25.78      STOPPED    250     0.0689    17.23     br1_hip_roll   +0.3   -0.6    0.00
 26.03      STOPPED    250     0.0689    17.29     br1_hip_roll   +0.3   -0.6    0.00
 26.28      STOPPED    250     0.0689    17.27     br1_hip_roll   +0.3   -0.6    0.00
 26.54      STOPPED    250     0.0689    17.29     br1_hip_roll   +0.3   -0.6    0.00
 26.79      STOPPED    250     0.0681    17.16     br1_hip_roll   +0.3   -0.7    0.00
 27.04      STOPPED    250     0.0681    17.11     br1_hip_roll   +0.3   -0.7    0.00
 27.29      STOPPED    250     0.0677    16.99     br1_hip_roll   +0.3   -0.7    0.01
 27.55      STOPPED    250     0.0636    15.94   bl3_knee_pitch   +0.3   -0.7    0.07
 27.80      STOPPED    250     0.0636    15.92   bl3_knee_pitch   +0.3   -0.7    0.00
 28.05      STOPPED    250     0.0636    16.01   bl3_knee_pitch   +0.3   -0.7    0.00
 28.31      STOPPED    250     0.0636    15.99   bl3_knee_pitch   +0.3   -0.7    0.00
 28.56      STOPPED    250     0.0636    16.03   bl3_knee_pitch   +0.3   -0.7    0.00
 28.81      STOPPED    250     0.0636    15.86   bl3_knee_pitch   +0.3   -0.8    0.00
 29.07      STOPPED    250     0.0636    15.92   bl3_knee_pitch   +0.3   -0.8    0.00
 29.32      STOPPED    250     0.0636    15.91   bl3_knee_pitch   +0.3   -0.8    0.00
 29.57      STOPPED    250     0.0636    15.88   bl3_knee_pitch   +0.3   -0.8    0.00
 29.83      STOPPED    250     0.0636    15.91   bl3_knee_pitch   +0.3   -0.8    0.00

  ▸ STOPPED 結束（按下 Enter），進入 SIT_crouch

 30.08   SIT_crouch    250     0.0605    15.01     br1_hip_roll   +0.3   -0.8    0.00
 30.33   SIT_crouch    250     0.0605    15.17     br1_hip_roll   +0.3   -0.5    0.10
 30.58   SIT_crouch    250     0.0608    15.25     br1_hip_roll   +0.3   -0.3    0.17
 30.84   SIT_crouch    250     0.0593    14.91     br1_hip_roll   +0.3   -0.3    0.23
 31.09   SIT_crouch    250     0.0441    14.91   fr3_knee_pitch   +0.3   -0.5    0.53
 31.34   SIT_crouch    250     0.0570    16.72   fr3_knee_pitch   +0.4   -0.7    0.37

  ▸ SIT_crouch 結束（時間到），進入 SIT_hold

 31.59     SIT_hold    250     0.0683    17.15   bl3_knee_pitch   +0.3   -0.9    0.06
 31.85     SIT_hold    250     0.0683    17.15   bl3_knee_pitch   +0.3   -0.9    0.00
 32.10     SIT_hold    250     0.0683    17.14   bl3_knee_pitch   +0.3   -0.9    0.00
 32.35     SIT_hold    250     0.0683    17.22   bl3_knee_pitch   +0.3   -0.8    0.00
 32.60     SIT_hold    250     0.0686    17.21   bl3_knee_pitch   +0.3   -0.8    0.00
 32.86     SIT_hold    250     0.0686    17.18   bl3_knee_pitch   +0.3   -0.8    0.00

  ▸ SIT_hold 結束（時間到），進入 SIT_LIE

 33.11      SIT_LIE    250     0.0646    17.00   bl3_knee_pitch   +0.2   -0.9    0.19
 33.37      SIT_LIE    250     0.0554    15.76   fr3_knee_pitch   +0.1   -1.8    1.79
 33.62      SIT_LIE    250     0.0645    17.83   bl3_knee_pitch   -1.4   -3.7    1.98
 33.88      SIT_LIE    250     0.0822    22.98   bl3_knee_pitch   -2.5   -5.7    1.32
 34.13      SIT_LIE    250     0.0837    21.39   bl3_knee_pitch   -3.6   -7.2    0.62
 34.38      SIT_LIE    250     0.0446    11.42   fr3_knee_pitch   -4.1   -7.6    0.05

  ▸ SIT_LIE 結束（時間到），進入 RAMP_DOWN

 34.64    RAMP_DOWN    229     0.0431    10.01   fr3_knee_pitch   -4.1   -7.6    0.04
 34.89    RAMP_DOWN    197     0.0439     8.73   fr3_knee_pitch   -4.1   -7.6    0.04
 35.14    RAMP_DOWN    166     0.0450     7.62   fr3_knee_pitch   -4.1   -7.6    0.00
 35.39    RAMP_DOWN    134     0.0481     6.77   fr3_knee_pitch   -3.9   -7.5    0.09
 35.65    RAMP_DOWN    102     0.0603     6.37   fr3_knee_pitch   -3.8   -7.3    0.06
 35.90    RAMP_DOWN     71     0.0790     6.19   fr3_knee_pitch   -3.7   -7.0    0.16
 36.16    RAMP_DOWN     39     0.1068     4.67   fr3_knee_pitch   -3.4   -6.6    0.17
 36.41    RAMP_DOWN      7     0.1205     1.17     fr1_hip_roll   -3.2   -6.3    0.14

✅ 互動流程走完（36.5 s）

============================================================================
✅ 序列完整跑完

