M8 —— 靜態撓度量測與單腿擺動（★★ 承重）　stage=2

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、地面淨空、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2425 狀態=S
✅ 機身姿態 roll +2.3° pitch -2.5°

站姿足端基準（輪軸心相對 ABAD 原點，m）　膝分支 {'fl': -1, 'fr': -1, 'bl': 1, 'br': 1}
  fl: x+0.0700 y+0.1060 z-0.4457
  fr: x+0.0700 y-0.1060 z-0.4457
  bl: x-0.0700 y+0.1060 z-0.4457
  br: x-0.0700 y-0.1060 z-0.4457
✅ 前後膝反號（後腿往前彎，原廠預設）

總時長 34.6 秒　25 段
  RAMP_UP(2.0) → GO_crouch(1.5) → HOLD_crouch(1.5) → GO_stand(1.5) → HOLD_stand(2.0) → GO_SHIFT_L(1.2) → HOLD_SHIFT_L(1.5) → BACK_SHIFT_L(1.2) → SETTLE_SHIFT_L(1.0) → GO_SHIFT_R(1.2) → HOLD_SHIFT_R(1.5) → BACK_SHIFT_R(1.2) → SETTLE_SHIFT_R(1.0) → GO_SHIFT_F(1.2) → HOLD_SHIFT_F(1.5) → BACK_SHIFT_F(1.2) → SETTLE_SHIFT_F(1.0) → GO_SHIFT_B(1.2) → HOLD_SHIFT_B(1.5) → BACK_SHIFT_B(1.2) → SETTLE_SHIFT_B(1.0) → BACK_crouch(1.5) → HOLDB_crouch(1.5) → BACK_LIE(1.5) → RAMP_DOWN(2.0)
✅ 凍結時間 34.6s 在上限 38s 之內

            區段         最大位移         峰值命令速度             哪個關節
     GO_crouch    0.590 rad        0.62 rad/s    fl2_hip_pitch
      GO_stand    1.200 rad        1.26 rad/s   fl3_knee_pitch
    GO_SHIFT_L    0.090 rad        0.12 rad/s     fl1_hip_roll
  BACK_SHIFT_L    0.090 rad        0.12 rad/s     fl1_hip_roll
    GO_SHIFT_R    0.090 rad        0.12 rad/s     fr1_hip_roll
  BACK_SHIFT_R    0.090 rad        0.12 rad/s     fr1_hip_roll
    GO_SHIFT_F    0.099 rad        0.13 rad/s    bl2_hip_pitch
  BACK_SHIFT_F    0.099 rad        0.13 rad/s    bl2_hip_pitch
    GO_SHIFT_B    0.099 rad        0.13 rad/s    fl2_hip_pitch
  BACK_SHIFT_B    0.099 rad        0.13 rad/s    fl2_hip_pitch
   BACK_crouch    1.200 rad        1.26 rad/s   fl3_knee_pitch
      BACK_LIE    0.590 rad        0.62 rad/s    fl2_hip_pitch
✅ 所有區段的命令速度都在 2.0 rad/s 以內
✅ 所有路徑點都在機構限位內

力矩門檻：ABAD 50 / HIP 50 / KNEE 70 N·m，硬上限 120
傾角保護 ±15°（現在 roll +2.3 pitch -2.5）
輪子：移動中純阻尼 kd=0.5；HOLD 段鎖定 kp=20.0

✅ 已凍結 mc_ctrl（T）

     t             階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch
 24.79   HOLD_SHIFT_B    250     0.0607    15.34   fr3_knee_pitch   +0.7   -0.8
 25.05   HOLD_SHIFT_B    250     0.0607    15.35   fr3_knee_pitch   +0.7   -0.8
 25.30   HOLD_SHIFT_B    250     0.0603    15.20   fr3_knee_pitch   +0.7   -0.9
 25.55   HOLD_SHIFT_B    250     0.0603    15.26   fr3_knee_pitch   +0.8   -0.8
 25.80   HOLD_SHIFT_B    250     0.0603    15.17   fr3_knee_pitch   +0.8   -0.8
 26.06   BACK_SHIFT_B    250     0.0596    14.99   fr3_knee_pitch   +0.7   -0.8
 26.31   BACK_SHIFT_B    250     0.0559    14.13   fr3_knee_pitch   +0.7   -0.9
 26.56   BACK_SHIFT_B    250     0.0504    12.72   fr3_knee_pitch   +0.7   -1.2
 26.82   BACK_SHIFT_B    250     0.0467    11.60   fr3_knee_pitch   +0.7   -1.2
 27.07   BACK_SHIFT_B    250     0.0460    11.34   bl3_knee_pitch   +0.6   -1.2
 27.33 SETTLE_SHIFT_B    250     0.0472    11.67   fl3_knee_pitch   +0.6   -1.1
 27.58 SETTLE_SHIFT_B    250     0.0472    11.69   fl3_knee_pitch   +0.6   -1.1
 27.83 SETTLE_SHIFT_B    250     0.0472    11.69   fl3_knee_pitch   +0.6   -1.1
 28.09 SETTLE_SHIFT_B    250     0.0472    91.82     fl1_hip_roll   +0.6   -1.1
 28.34    BACK_crouch    250     0.0388    10.70   fl3_knee_pitch   +0.6   -1.2
 28.59    BACK_crouch    250     0.0571    12.38   bl3_knee_pitch   +0.6   -1.1
 28.84    BACK_crouch    250     0.0608    14.51   fr3_knee_pitch   +0.6   -1.1
 29.10    BACK_crouch    250     0.0488    15.13   bl3_knee_pitch   +0.5   -1.1
 29.35    BACK_crouch    250     0.0433    15.32   br3_knee_pitch   +0.5   -1.1
 29.60   HOLDB_crouch    250     0.0679    17.30   fl3_knee_pitch   +0.4   -1.1
 29.86   HOLDB_crouch    250     0.0690    17.06   fl3_knee_pitch   +0.5   -1.1
 30.11   HOLDB_crouch    250     0.0690    17.07   fl3_knee_pitch   +0.5   -1.1
 30.36   HOLDB_crouch    250     0.0690    17.09   fl3_knee_pitch   +0.5   -1.1
 30.61   HOLDB_crouch    250     0.0690    17.06   fl3_knee_pitch   +0.5   -1.1
 30.87   HOLDB_crouch    250     0.0694    16.65   fr3_knee_pitch   +0.5   -1.1
 31.12       BACK_LIE    250     0.0693    17.14   fl3_knee_pitch   +0.5   -1.1
 31.37       BACK_LIE    250     0.0604    15.21   fl3_knee_pitch   +0.5   -1.1
 31.62       BACK_LIE    250     0.0537    14.47   fr3_knee_pitch   +0.8   -1.4
 31.88       BACK_LIE    250     0.0565    14.81   br3_knee_pitch   +1.2   -1.8
 32.13       BACK_LIE    250     0.0322     8.03   fl3_knee_pitch   +1.7   -2.2
 32.38       BACK_LIE    250     0.0167     3.57     bl1_hip_roll   +2.1   -2.4
