M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2411 狀態=S
✅ 機身姿態 roll -5.3° pitch +2.2°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.18 ms/步（預算 10 ms）

互動模式　最壞情況 52.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 10 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 20.68         GAIT    250     0.1996    23.88   bl3_knee_pitch   +2.5   -1.6    2.17
 20.94         GAIT    250     0.1183    11.15   fl3_knee_pitch   +2.2   +1.8    0.40
 21.19         GAIT    250     0.1477    28.20   bl3_knee_pitch   +3.6   -1.1    0.91
 21.44         GAIT    250     0.1593    25.70   fl3_knee_pitch   +3.2   +0.1    0.68
 21.70         GAIT    250     0.1908    27.35    bl2_hip_pitch   +0.2   -0.5    3.13

  ▸ GAIT 結束（按下 Enter），進入 GAIT_OUT


  ▸ policy 退回開迴路 A（按停淡出：淡出段走純 A）—— 走路繼續

 21.95     GAIT_OUT    250     0.2650    47.49    fl2_hip_pitch   -1.0   +2.5    0.76
 22.20     GAIT_OUT    250     0.1450    40.73   br3_knee_pitch   +4.1   +2.8    1.50
 22.46     GAIT_OUT    250     0.1680    26.40    bl2_hip_pitch   +0.3   -1.1    3.12
 22.71     GAIT_OUT    250     0.0874    14.17   fr3_knee_pitch   +3.1   +1.8    3.50
 22.96     GAIT_OUT    250     0.1617    22.07   fr3_knee_pitch   +2.7   -0.3    1.06
 23.21     GAIT_OUT    250     0.1426    21.79   bl3_knee_pitch   -0.1   -1.6    2.24
 23.47     GAIT_OUT    250     0.0811    16.01   bl3_knee_pitch   +3.7   +0.7    4.68
 23.72     GAIT_OUT    250     0.0668    16.65   fl3_knee_pitch   +2.6   +0.2    1.27
 23.98     GAIT_OUT    250     0.1174    28.00   bl3_knee_pitch   +1.0   -0.5    1.41
 24.23     GAIT_OUT    250     0.0617    15.61   bl3_knee_pitch   +1.7   -0.5    0.45
 24.48     GAIT_OUT    250     0.0574    14.33   fl3_knee_pitch   +1.4   -0.2    0.54
 24.73     GAIT_OUT    250     0.0584    14.72   bl3_knee_pitch   +1.1   -0.4    0.28

