M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2434 狀態=S
✅ 機身姿態 roll -1.1° pitch -0.4°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.16 ms/步（預算 10 ms）

互動模式　最壞情況 110.0 秒：
  站起來 6.5 ＋ 等①15 ＋ 降增益 1.5 ＋ 淡入 2.0 ＋ 走 60 ＋ 淡出 2.0 ＋ 升增益 1.5 ＋ 等③15 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 120 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms
🎮 遙控：READY 按 Enter → 站好等鍵；**按住 W 走、放開站好、空白鍵急停**；站好時 Enter 收工

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 26.29 TELEOP_STAND    250     0.0606    14.98   fr3_knee_pitch   +1.0   -1.7    0.00
 26.54 TELEOP_STAND    250     0.0606    15.01   fr3_knee_pitch   +1.0   -1.7    0.00
 26.79 TELEOP_STAND    250     0.0606    15.04   fr3_knee_pitch   +1.0   -1.7    0.00
 27.04 TELEOP_STAND    250     0.0606    15.02   fr3_knee_pitch   +1.0   -1.7    0.00
 27.29 TELEOP_STAND    250     0.0606    15.01   fr3_knee_pitch   +1.0   -1.7    0.00
 27.55 TELEOP_STAND    250     0.0606    15.00   br3_knee_pitch   +1.0   -1.7    0.00
 27.80 TELEOP_STAND    250     0.0606    15.02   fr3_knee_pitch   +1.0   -1.7    0.00
 28.06 TELEOP_STAND    250     0.0606    15.02   fr3_knee_pitch   +1.0   -1.7    0.00
 28.31 TELEOP_STAND    250     0.0602    15.02   fr3_knee_pitch   +1.0   -1.6    0.04
 28.56 TELEOP_STAND    250     0.0602    15.02   fr3_knee_pitch   +1.0   -1.6    0.00
 28.81 TELEOP_STAND    250     0.0602    14.96   fr3_knee_pitch   +1.0   -1.7    0.04
 29.07 TELEOP_STAND    250     0.0602    15.04   fr3_knee_pitch   +1.0   -1.7    0.00
 29.32 TELEOP_STAND    250     0.0602    15.02   fr3_knee_pitch   +1.2   -1.7    0.07
 29.57 TELEOP_STAND    250     0.0602    15.01   fr3_knee_pitch   +1.2   -1.7    0.00
 29.82 TELEOP_STAND    250     0.0602    15.01   fr3_knee_pitch   +1.1   -1.7    0.00
 30.07 TELEOP_STAND    250     0.0602    15.05   fr3_knee_pitch   +1.1   -1.7    0.00
 30.33 TELEOP_STAND    250     0.0602    15.03   fr3_knee_pitch   +1.1   -1.7    0.00
 30.58 TELEOP_STAND    250     0.0602    15.04   fr3_knee_pitch   +1.1   -1.7    0.00

  ▸ 遙控 STAND → GAIT_IN（按住 W（第 1 段））

 30.83 TELEOP_GAIT_IN    250     0.0608    15.08   fr3_knee_pitch   +1.1   -1.7    0.03
 31.08 TELEOP_GAIT_IN    250     0.0632    15.86   fr3_knee_pitch   +1.0   -1.7    0.31
 31.34 TELEOP_GAIT_IN    250     0.0794    20.47   fl3_knee_pitch   +1.8   -1.4    1.04
 31.59 TELEOP_GAIT_IN    250     0.1633    38.54   bl3_knee_pitch   -0.5   -2.6    0.33
 31.84 TELEOP_GAIT_IN    250     0.1622    23.20    br2_hip_pitch   +2.0   -2.5    1.81
 32.10 TELEOP_GAIT_IN    250     0.1772    32.69    fr2_hip_pitch   +2.7   -0.9    1.84
 32.35 TELEOP_GAIT_IN    250     0.3140    43.65   bl3_knee_pitch   -1.3   -2.6    1.25
 32.60 TELEOP_GAIT_IN    250     0.1052    23.71   bl3_knee_pitch   +1.3   -1.2   11.50

  ▸ 遙控 GAIT_IN → GAIT（淡入完成）

 32.86  TELEOP_GAIT    250     0.2125    24.06   fr3_knee_pitch   +1.0   -1.0    0.93
 33.11  TELEOP_GAIT    250     0.1532    32.59   br3_knee_pitch   -0.5   -2.0    4.08
 33.36  TELEOP_GAIT    250     0.2088    27.05   fr3_knee_pitch   +0.7   -1.4    1.76
 33.62  TELEOP_GAIT    250     0.0981    24.00    br2_hip_pitch   +1.5   -0.9    1.48
 33.88  TELEOP_GAIT    250     0.1386    24.15    fr2_hip_pitch   +1.5   -2.8    2.56
 34.13  TELEOP_GAIT    250     0.1797    25.88   fr3_knee_pitch   +2.4   -1.1    0.93
 34.38  TELEOP_GAIT    250     0.2340    42.80   br3_knee_pitch   +4.8   -2.3    1.18
 34.63  TELEOP_GAIT    250     0.1372    27.04   fl3_knee_pitch   +2.9   -1.9    0.89
 34.89  TELEOP_GAIT    250     0.1337    20.80   fr3_knee_pitch   +2.4   -1.0    0.95
 35.14  TELEOP_GAIT    250     0.1938    24.16    br2_hip_pitch   +3.9   -2.3    2.40
 35.40  TELEOP_GAIT    250     0.1295    23.17    fr2_hip_pitch   +3.9   -1.3    0.82
 35.65  TELEOP_GAIT    250     0.2193    27.60   bl3_knee_pitch   +0.4   -2.2    2.35
 35.90  TELEOP_GAIT    250     0.1868    25.10   fr3_knee_pitch   +2.3   -1.9    2.29
 36.15  TELEOP_GAIT    250     0.1784    30.48   fr3_knee_pitch   +2.2   -1.9    1.03
 36.40  TELEOP_GAIT    250     0.1681    29.58   br3_knee_pitch   +2.2   -3.1    5.21
 36.66  TELEOP_GAIT    250     0.2238    29.10   fr3_knee_pitch   +1.7   -1.8    2.58
 36.91  TELEOP_GAIT    250     0.2983    26.80   br3_knee_pitch   +4.5   -2.4    1.27
 37.16  TELEOP_GAIT    250     0.1389    37.47    fr2_hip_pitch   +2.5   -2.9    1.34
 37.41  TELEOP_GAIT    250     0.1994    30.08   fl3_knee_pitch   +3.4   -1.1    0.93
 37.67  TELEOP_GAIT    250     0.1559    33.42   br3_knee_pitch   +5.7   -3.1    3.23
 37.92  TELEOP_GAIT    250     0.2649    34.22   fr3_knee_pitch   +4.2   -2.5    0.97
 38.17  TELEOP_GAIT    250     0.0881    37.35   bl3_knee_pitch   +1.5   -2.1   16.86
 38.42  TELEOP_GAIT    250     0.1089    20.11   bl3_knee_pitch   +3.9   -2.1    3.33
 38.68  TELEOP_GAIT    250     0.1480    17.25   fl3_knee_pitch   +4.2   -2.2    0.48
 38.93  TELEOP_GAIT    250     0.1367    28.81   br3_knee_pitch   +1.9   -2.4    1.52
 39.18  TELEOP_GAIT    250     0.1827    27.20   fr3_knee_pitch   +2.0   -2.1    2.43
 39.43  TELEOP_GAIT    250     0.1091    26.06   fl3_knee_pitch   +4.0   -1.6    1.63
 39.68  TELEOP_GAIT    250     0.1414    32.42    fr2_hip_pitch   +3.0   -3.3    2.13
 39.93  TELEOP_GAIT    250     0.1605    22.00   fr3_knee_pitch   +3.9   -1.2    0.20
 40.19  TELEOP_GAIT    250     0.2260    38.13   br3_knee_pitch   +5.6   -2.4    1.69

  ▸ policy 退回開迴路 A（按停淡出：淡出段走純 A）—— 走路繼續


  ▸ 遙控 GAIT → GAIT_OUT（放開）

 40.44 TELEOP_GAIT_OUT    250     0.1668    26.40   br3_knee_pitch   +4.7   -2.1    1.79
 40.70 TELEOP_GAIT_OUT    250     0.1987    25.17   fl3_knee_pitch   +4.0   -0.8    1.66
 40.95 TELEOP_GAIT_OUT    250     0.1892    26.56   br3_knee_pitch   +7.8   -4.5    1.81
 41.21 TELEOP_GAIT_OUT    250     0.1452    22.96   fr3_knee_pitch   +3.8   -2.1    7.82
 41.46 TELEOP_GAIT_OUT    250     0.0868    18.65   fr3_knee_pitch   +1.7   +0.8    1.22
 41.71 TELEOP_GAIT_OUT    250     0.1496    35.32   br3_knee_pitch   +6.0   -2.4    1.96
 41.97 TELEOP_GAIT_OUT    250     0.0822    13.39   br3_knee_pitch   +3.2   -1.7    0.57
 42.22 TELEOP_GAIT_OUT    250     0.0833    16.12   fl3_knee_pitch   +2.6   -1.3    0.30

  ▸ 遙控 GAIT_OUT → STAND（淡出完成）

 42.47 TELEOP_STAND    250     0.0807    15.03   bl3_knee_pitch   +2.7   -1.3    0.00
 42.73 TELEOP_STAND    250     0.0803    14.96   bl3_knee_pitch   +2.4   -1.2    0.26
 42.98 TELEOP_STAND    250     0.0803    14.94   bl3_knee_pitch   +2.1   -1.1    0.00
 43.23 TELEOP_STAND    250     0.0803    14.90   bl3_knee_pitch   +1.9   -1.0    0.00
 43.49 TELEOP_STAND    250     0.0803    14.94   bl3_knee_pitch   +1.7   -0.9    0.00
 43.74 TELEOP_STAND    250     0.0803    14.83   bl3_knee_pitch   +1.5   -0.8    0.01
 43.99 TELEOP_STAND    250     0.0803    14.93   bl3_knee_pitch   +1.4   -0.8    0.00
 44.25 TELEOP_STAND    250     0.0803    14.94   bl3_knee_pitch   +1.2   -0.7    0.00
 44.50 TELEOP_STAND    250     0.0803    14.95   bl3_knee_pitch   +1.1   -0.7    0.00
 44.75 TELEOP_STAND    250     0.0803    14.89   bl3_knee_pitch   +1.0   -0.6    0.00
 45.00 TELEOP_STAND    250     0.0803    14.88   bl3_knee_pitch   +0.9   -0.6    0.00
 45.26 TELEOP_STAND    250     0.0803    15.00   bl3_knee_pitch   +0.8   -0.6    0.00
 45.51 TELEOP_STAND    250     0.0803    14.99   bl3_knee_pitch   +0.7   -0.6    0.00
 45.76 TELEOP_STAND    250     0.0803    14.95   bl3_knee_pitch   +0.6   -0.5    0.00
