M8 —— 靜態撓度量測與單腿擺動（★★ 承重）　stage=1

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、地面淨空、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2425 狀態=T
✅ 機身姿態 roll +2.2° pitch -2.5°

站姿足端基準（輪軸心相對 ABAD 原點，m）　膝分支 {'fl': -1, 'fr': -1, 'bl': 1, 'br': 1}
  fl: x+0.0700 y+0.1060 z-0.4457
  fr: x+0.0700 y-0.1060 z-0.4457
  bl: x-0.0700 y+0.1060 z-0.4457
  br: x-0.0700 y-0.1060 z-0.4457
✅ 前後膝反號（後腿往前彎，原廠預設）

總時長 26.0 秒　17 段
  RAMP_UP(2.0) → GO_crouch(1.5) → HOLD_crouch(1.5) → GO_stand(1.5) → HOLD_stand(2.0) → KPRAMP_250(1.0) → SAG_kp250(2.0) → KPRAMP_180(1.0) → SAG_kp180(2.0) → KPRAMP_120(1.0) → SAG_kp120(2.0) → KPRAMP_back(1.0) → HOLD_stand2(1.0) → BACK_crouch(1.5) → HOLDB_crouch(1.5) → BACK_LIE(1.5) → RAMP_DOWN(2.0)
✅ 凍結時間 26.0s 在上限 38s 之內

            區段         最大位移         峰值命令速度             哪個關節
     GO_crouch    0.590 rad        0.62 rad/s    fl2_hip_pitch
      GO_stand    1.200 rad        1.26 rad/s   fl3_knee_pitch
   BACK_crouch    1.200 rad        1.26 rad/s   fl3_knee_pitch
      BACK_LIE    0.590 rad        0.62 rad/s    fl2_hip_pitch
✅ 所有區段的命令速度都在 2.0 rad/s 以內
✅ 所有路徑點都在機構限位內

力矩門檻：ABAD 50 / HIP 50 / KNEE 70 N·m，硬上限 120
傾角保護 ±15°（現在 roll +2.2 pitch -2.5）
輪子：移動中純阻尼 kd=0.5；HOLD 段鎖定 kp=20.0

✅ 已凍結 mc_ctrl（T）

     t             階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch
 21.23   HOLDB_crouch    250     0.0690    17.08   fl3_knee_pitch   +0.5   -1.2
 21.48   HOLDB_crouch    250     0.0690    17.07   fl3_knee_pitch   +0.5   -1.2
 21.74   HOLDB_crouch    250     0.0686    17.14   bl3_knee_pitch   +0.6   -1.2
 21.99   HOLDB_crouch    250     0.0686    17.12   bl3_knee_pitch   +0.6   -1.2
 22.24   HOLDB_crouch    250     0.0694    17.50   fl3_knee_pitch   +0.6   -1.2
 22.50   HOLDB_crouch    250     0.0698    17.58   bl3_knee_pitch   +0.5   -1.3
 22.75       BACK_LIE    250     0.0620    15.44   fl3_knee_pitch   +0.5   -1.3
 23.00       BACK_LIE    250     0.0507    13.91   br3_knee_pitch   +0.8   -1.6
 23.25       BACK_LIE    250     0.0541    14.51   bl3_knee_pitch   +1.1   -1.9
 23.50       BACK_LIE    250     0.0340     8.32   bl3_knee_pitch   +1.6   -2.3
 23.76       BACK_LIE    250     0.0162     3.57     br1_hip_roll   +2.1   -2.5
 24.01      RAMP_DOWN    249     0.0065     1.52   bl3_knee_pitch   +2.2   -2.5
 24.27      RAMP_DOWN    217     0.0065     1.36     fr1_hip_roll   +2.2   -2.4
 24.52      RAMP_DOWN    185     0.0061     1.13     fr1_hip_roll   +2.2   -2.5
 24.78      RAMP_DOWN    153     0.0061     1.03     fr1_hip_roll   +2.2   -2.5
 25.03      RAMP_DOWN    122     0.0061     0.84     fr1_hip_roll   +2.3   -2.5
 25.28      RAMP_DOWN     90     0.0061     0.61     fr1_hip_roll   +2.3   -2.5
 25.53      RAMP_DOWN     59     0.0065     0.44   bl3_knee_pitch   +2.3   -2.5
 25.79      RAMP_DOWN     27     0.0061     0.25   br3_knee_pitch   +2.3   -2.5

============================================================================
✅ 序列完整跑完

關節                     峰值τ      門檻      用掉
fl1_hip_roll         -8.87      50     18%
fl2_hip_pitch       +13.16      50     26%
fl3_knee_pitch      +27.84      70     40%
fr1_hip_roll         +5.09      50     10%
